Words,Count:
know,3659
think,3251
like,3151
little,3137
see,2839
go,2807
man,2767
never,2690
philip,2582
thought,2542
come,2519
good,2507
well,2420
mrs,2399
made,2291
say,2232
looked,2186
must,2086
eyes,2071
came,2064
much,1959
love,1932
went,1897
asked,1835
time,1801
back,1784
lady,1759
make,1746
nothing,1736
want,1727
life,1702
day,1645
miss,1635
two,1616
knew,1613
going,1594
look,1580
last,1554
seemed,1532
old,1521
long,1488
got,1488
get,1482
face,1464
away,1453
felt,1446
gave,1433
saw,1427
great,1422
way,1415
room,1406
things,1399
take,1388
tell,1357
heart,1352
put,1352
people,1351
always,1320
mind,1273
told,1260
took,1256
us,1234
woman,1215
give,1193
though,1181
first,1150
hand,1133
another,1128
mr,1109
anything,1108
something,1086
hands,1076
thing,1064
moment,1031
answered,1022
let,1013
found,1003
still,999
house,991
every,979
men,979
bertha,979
dear,967
years,960
arthur,953
better,948
right,910
night,908
didnt,905
head,905
george,899
even,894
rather,881
daisy,876
basil,871
world,869
turned,863
door,859
round,855
wife,842
wanted,824
work,820
done,817
cried,817
till,814
alec,799
seen,795
left,793
really,790
three,787
mother,786
course,780
kitty,753
looking,746
james,742
side,733
young,732
father,728
heard,720
smile,718
began,715
days,707
yes,700
help,699
place,678
mean,677
may,669
voice,667
matter,665
morning,664
stood,664
walked,662
care,661
read,660
talk,655
enough,653
find,653
lucy,652
since,648
home,646
perhaps,642
wont,641
ley,635
yet,634
feel,631
words,630
everything,628
boy,621
many,617
god,617
end,615
white,613
passed,610
money,608
alone,605
speak,600
leave,598
suddenly,592
almost,591
edward,587
half,584
afraid,583
doctor,583
loved,582
answer,580
ask,574
word,573
along,572
new,569
set,564
frederick,564
gone,558
wish,558
hair,552
poor,550
dick,550
marry,548
best,547
used,540
sure,536
sometimes,535
happy,535
husband,534
black,534
brought,533
smiled,530
believe,523
together,523
death,519
given,519
married,519
certain,512
jenny,510
lips,508
quickly,508
often,500
suppose,500
couldnt,498
spoke,497
women,495
girl,493
red,491
wouldnt,489
next,489
london,488
air,488
soul,486
taken,483
harry,481
able,479
keep,476
called,475
country,475
strickland,472
soon,472
violet,470
elizabeth,469
dinner,468
arms,467
whole,466
dr,464
street,459
tea,457
feeling,456
table,454
liza,454
sorry,453
che,450
live,449
large,448
mary,445
understand,444
evening,442
silence,441
glad,440
others,439
canon,437
known,436
john,435
light,434
coming,434
less,431
laughed,430
small,427
five,427
bed,424
dead,422
self,422
beautiful,420
children,420
letter,418
different,415
sent,414
passion,412
part,410
open,410
sort,409
bear,408
else,405
hard,404
nora,404
tried,403
cold,400
manner,399
friends,397
chair,397
tears,397
thinking,397
already,396
yer,396
stay,395
friend,392
hope,391
strange,390
child,390
whether,383
anyone,383
chance,380
year,380
smiling,380
rest,377
hear,376
frank,376
name,375
ter,375
making,374
lived,373
blue,370
hardly,369
mah,368
laugh,366
fool,365
doesnt,365
bad,364
feet,364
longer,362
far,362
fact,362
susie,362
conversation,361
dark,360
towards,360
sense,357
presently,357
show,356
brother,355
crowley,354
full,352
lord,351
possible,350
english,345
week,345
held,343
water,342
pleasure,341
deal,339
shoulders,339
kind,339
remember,338
rose,338
ten,337
taking,336
idea,333
england,332
silent,332
beauty,331
filled,330
mouth,329
grew,329
kept,329
behind,328
margaret,328
talking,327
mildred,326
late,324
bring,323
forward,322
play,322
heavy,322
church,320
sitting,320
need,319
months,319
family,318
cry,318
ought,318
sprat,317
son,316
least,316
twenty,314
arm,314
met,313
walk,313
trees,313
captain,313
arnold,313
window,312
pain,311
fell,311
fine,310
hour,310
talked,309
sudden,306
TRUE,306
foul,306
among,304
person,304
fellow,303
business,301
four,300
call,300
eddie,299
sir,297
paris,297
somewhat,297
happened,297
replied,296
chinese,295
ger,294
earth,293
comes,293
lost,293
book,292
front,292
getting,292
town,291
impossible,291
hundred,291
opened,291
angry,291
power,290
stand,290
seem,289
duty,289
human,288
nice,288
youth,287
high,286
remembered,286
wondered,285
body,285
meant,284
expected,283
wished,283
slowly,283
thin,283
times,282
carey,282
also,281
wonder,280
past,278
reason,278
bit,278
seized,277
strength,275
pretty,275
forget,274
cannot,273
sea,273
strong,273
lay,273
use,271
afternoon,271
age,269
expect,269
humour,268
later,267
certainly,267
clothes,267
sake,267
boys,267
waiting,266
cheeks,266
ready,266
change,265
hours,265
trying,265
charming,264
desire,264
try,264
city,263
pleased,263
stopped,263
tired,262
order,262
hell,262
says,262
kissed,262
merest,262
born,261
winnie,261
pleasant,260
short,260
lawson,260
showed,259
goes,259
parsons,258
led,257
noticed,257
sister,257
sight,257
hold,257
die,257
whose,256
turn,256
low,255
neither,255
remained,254
means,254
knows,253
happiness,253
suggested,252
fear,249
pay,249
spent,248
liked,247
returned,247
wait,246
living,245
became,245
wore,245
six,245
dress,244
marriage,244
dare,243
gentleman,243
question,243
books,242
none,242
paper,242
pale,242
daughter,242
scene,242
awfully,241
appeared,241
merely,241
sun,241
standing,239
attention,239
common,239
middle,239
thoughts,238
seems,237
weeks,237
makes,236
hat,235
drawing,235
point,235
cast,234
expression,234
gerald,234
write,233
meet,233
saying,233
minutes,232
shouldnt,232
looks,232
interest,231
wonderful,231
laughing,231
girls,231
second,231
nature,230
kelsey,230
perfectly,229
broke,229
art,228
cut,228
glass,228
thank,227
surprised,227
watched,227
ave,227
arrived,226
road,226
fire,225
ronny,225
please,224
sleep,223
sally,223
everyone,222
matteo,222
character,221
followed,221
spirit,221
entered,221
died,221
offered,219
shook,219
story,218
pictures,218
send,218
school,217
difficult,217
seeing,217
across,216
bitter,215
cruel,215
sick,214
green,214
colonel,214
finished,214
forced,214
horrible,214
wants,213
nearly,213
entirely,213
anxious,212
beginning,212
case,212
waited,212
uncle,212
trouble,212
sky,211
broken,211
opportunity,210
dressed,210
hilda,210
ones,209
notice,209
glance,209
easy,209
drink,209
nonsense,209
truth,208
indeed,208
return,207
picture,207
letters,206
free,206
sound,206
wrote,205
added,205
proud,205
position,204
mans,204
exactly,203
tomorrow,202
effort,201
ago,201
reggie,201
clear,200
vicar,200
emotion,199
natural,199
unhappy,199
garden,199
necessary,198
someone,198
blood,198
philips,198
worth,196
early,196
fair,196
ashamed,196
imagine,196
started,196
kiss,196
tie,196
christina,196
threw,195
offer,195
lie,195
anne,194
immediately,194
glover,194
closed,193
sought,192
