he_word,count
was,4138
had,3421
said,1481
s,1213
could,1171
would,907
did,712
looked,532
felt,460
knew,450
asked,429
went,424
thought,385
saw,359
took,347
is,306
answered,301
has,285
came,257
made,247
gave,240
must,233
found,233
wanted,232
told,224
should,217
might,212
turned,194
d,182
seemed,180
cried,176
spoke,175
never,159
began,155
put,154
got,145
walked,140
loved,124
were,121
smiled,114
can,101
remembered,99
tried,91
laughed,86
heard,86
will,86
held,83
wondered,82
talked,81
doesnt,79
read,78
left,76
wore,75
wished,74
didnt,73
stood,73
wants,71
liked,69
goes,64
called,64
meant,64
replied,63
says,62
kissed,61
always,60
showed,59
passed,57
grew,57
stopped,57
used,56
paused,53
and,52
set,51
wrote,51
hated,51
repeated,50
does,50
opened,50
sought,49
kept,48
waited,48
shook,47
may,47
watched,47
looks,46
spent,45
died,45
threw,43
wont,42
couldnt,41
hesitated,41
drew,41
knows,40
fell,40
remained,39
ought,39
lived,38
shrugged,38
only,38
muttered,38
sent,38
entered,37
added,37
not,37
became,36
insisted,36
wouldnt,35
returned,35
cant,34
whispered,34
stared,32
noticed,32
forced,32
takes,32
realised,31
brought,30
leaned,30
comes,30
expected,30
drank,30
suggested,30
murmured,30
say,29
lay,29
started,29
remarked,28
flung,28
wasnt,28
met,27
really,27
seems,26
received,26
appeared,26
loves,26
rose,26
arrived,26
awoke,26
who,25
suffered,25
understood,25
nodded,25
caught,25
married,25
poured,25
isnt,24
played,24
pointed,24
offered,24
reached,24
broke,24
refused,24
pressed,24
stretched,24
glanced,23
lost,23
hoped,23
sank,23
led,22
bent,22
no,22
thinks,22
slept,21
fancied,21
finished,21
ran,21
let,21
listened,21
proposed,20
ate,20
dared,20
raised,20
described,20
wandered,20
too,20
gets,19
painted,19
lives,19
ever,19
shuddered,19
chose,19
seized,19
promised,19
still,19
lifted,19
sees,19
rim,18
cursed,18
rubbed,18
gives,18
jumped,18
discovered,18
carried,17
need,17
chuckled,17
worked,17
burst,17
makes,17
forgot,17
pushed,17
admired,17
loathed,17
bore,16
in,16
accepted,16
just,16
continued,16
believed,16
waved,16
treated,16
despised,16
followed,16
imagined,16
cared,16
stepped,16
owed,16
knocked,16
closed,16
shouted,16
strolled,16
managed,16
sprang,16
needed,15
reminded,15
considered,15
gasped,15
recognised,15
sighed,15
a,15
merely,14
dreaded,14
pulled,14
roh,14
explained,14
placed,14
often,14
hurried,14
have,14
hid,13
almost,13
lit,13
quickly,13
longed,13
that,13
wears,13
very,13
retorted,13
exclaimed,13
feared,13
rang,13
means,13
uttered,12
regretted,12
clenched,12
feels,12
do,12
settled,12
touched,12
sauntered,12
think,12
likes,12
simply,12
come,12
cannot,12
swore,11
i,11
shall,11
go,11
groaned,11
desired,11
mean,11
determined,11
first,11
enjoyed,11
blushed,11
learned,11
been,11
paid,11
also,11
speaks,11
puts,11
tell,10
himself,10
hardly,10
bought,10
staggered,10
smoked,10
finds,10
addressed,10
helped,10
resented,10
adored,10
interrupted,10
talks,10
thanked,10
pictured,10
observed,10
arranged,10
to,10
supposed,10
m,10
stayed,10
possessed,10
at,10
rode,10
kisses,10
laid,9
moved,9
seldom,9
needs,9
certainly,9
preferred,9
pretended,9
changed,9
occupied,9
handed,9
shivered,9
yearned,9
hit,9
slipped,9
knelt,9
with,9
alone,9
presented,9
ordered,9
exulted,9
released,9
want,9
gazed,9
tells,9
vowed,9
stops,9
clasped,8
begged,8
foresaw,8
recovered,8
gathered,8
beat,8
agreed,8
divined,8
recalled,8
flushed,8
fixed,8
bade,8
care,8
mentioned,8
greeted,8
dropped,8
he,8
advanced,8
collected,8
shouldnt,8
dont,8
crossed,8
know,8
confessed,8
holds,8
sits,7
earned,7
sold,7
going,7
filled,7
rolled,7
reddened,7
climbed,7
grows,7
be,7
adopted,7
suspected,7
dreamed,7
ceased,7
examined,7
applied,7
prided,7
flattered,7
soon,7
acted,7
owes,7
strove,7
faced,7
plays,7
proceeded,7
walks,7
opens,7
beamed,6
moaned,6
guessed,6
pursued,6
fetched,6
dragged,6
lingered,6
clung,6
approached,6
disliked,6
quoted,6
learnt,6
joined,6
make,6
amused,6
expressed,6
produced,6
but,6
dwelt,6
woke,6
generally,6
scarcely,6
inquired,6
keeps,6
rejoiced,6
cares,6
boasted,6
loses,6
refuses,6
calls,6
lays,5
struggled,5
of,5
reproached,5
like,5
wiped,5
shut,5
so,5
affected,5
snatched,5
intended,5
belonged,5
formed,5
covered,5
as,5
prayed,5
retired,5
limped,5
struck,5
stands,5
avoided,5
frowned,5
reckoned,5
unpacked,5
trembled,5
assumed,5
experienced,5
delighted,5
congratulated,5
breathed,5
preserved,5
picked,5
oh,5
chaffed,5
lacked,5
danced,5
meets,5
deserves,5
doing,5
blew,5
the,5
she,5
assured,5
strode,5
bowed,5
employed,5
bellowed,5
hissed,5
killed,5
folded,5
turns,5
seizes,5
call,5
evidently,4
writhed,4
introduced,4
his,4
resumed,4
discussed,4
attacked,4
write,4
live,4
exercised,4
wishes,4
though,4
leaves,4
neither,4
gravely,4
rebelled,4
regained,4
loosened,4
suddenly,4
satisfied,4
marry,4
hazarded,4
constantly,4
racked,4
blamed,4
claimed,4
brooded,4
answer,4
revelled,4
prepared,4
related,4
borrowed,4
drinks,4
attempted,4
reflected,4
now,4
fled,4
honestly,4
succeeded,4
seated,4
treats,4
resolved,4
stated,4
rive,4
permitted,4
mixed,4
sometimes,4
recounted,4
coming,4
fought,4
dressed,4
then,4
dies,4
brushed,4
remains,4
wrung,4
recognized,4
drove,4
look,4
dozed,4
sweated,4
prevented,4
pocketed,4
dead,4
cut,4
much,4
reads,4
studied,4
uses,4
motioned,4
devoted,4
you,4
indeed,4
tries,4
hears,4
buried,4
throws,4
committed,4
fainted,4
for,4
how,4
aver,4
bends,4
lady,4
give,3
dealt,3
happened,3
narrated,3
ascribed,3
allowed,3
persuaded,3
whistled,3
implored,3
recollected,3
gained,3
resisted,3
besought,3
smile,3
regarded,3
aimed,3
frequently,3
belongs,3
