she_word,count
was,2134
had,1930
said,1070
s,673
could,622
would,541
did,407
looked,375
knew,281
asked,278
felt,270
thought,224
saw,222
went,217
cried,201
answered,193
gave,193
is,162
took,158
must,152
has,139
made,137
turned,133
came,125
might,124
found,116
told,110
put,106
smiled,102
wanted,100
should,99
spoke,94
loved,90
began,80
wore,80
seemed,78
got,78
heard,74
walked,68
never,66
laughed,66
wished,65
stood,65
were,64
didnt,60
whispered,60
wondered,56
tried,55
held,50
remembered,49
murmured,49
can,46
hated,44
shook,44
replied,44
does,43
liked,41
passed,41
stopped,39
wants,37
and,37
read,36
doesnt,35
watched,35
always,35
called,34
meant,32
left,32
goes,32
takes,31
talked,31
flung,30
looks,30
wrote,29
used,29
wouldnt,29
kissed,29
noticed,29
burst,28
added,28
sank,28
kept,28
opened,27
set,27
drew,27
repeated,27
hesitated,26
cant,25
will,25
says,25
caught,24
started,24
still,24
too,24
sobbed,24
dared,24
sighed,24
gives,23
lived,23
rose,23
lay,23
refused,23
threw,22
remarked,22
really,22
brought,21
couldnt,21
cared,21
waited,21
sought,21
showed,20
sprang,20
sent,20
bent,20
realized,20
ought,19
grew,19
may,19
only,19
who,19
glanced,19
hoped,19
leaned,19
wept,19
ran,19
met,18
listened,18
remained,18
returned,18
followed,18
accepted,17
blushed,17
fell,17
recognised,17
almost,17
knows,17
spent,17
forced,17
thinks,16
flushed,16
wont,16
moaned,16
expected,16
fancied,16
lifted,16
not,15
realised,15
she,15
paused,15
a,15
stretched,15
wasnt,15
stared,15
screamed,15
let,14
pulled,14
shrugged,14
muttered,14
broke,14
desired,13
raised,13
shuddered,13
died,13
stepped,13
bade,13
understood,13
puts,13
be,13
hardly,13
feared,13
insisted,12
moved,12
became,12
chose,12
treated,12
retorted,12
so,12
recalled,12
loves,12
comes,12
makes,12
do,11
carried,11
reminded,11
needed,11
poured,11
drove,11
hid,11
ate,11
as,11
no,11
dont,11
slipped,11
entered,11
reddened,10
bore,10
interrupted,10
withdrew,10
paid,10
pressed,10
often,10
say,10
placed,10
gasped,10
tore,10
exclaimed,10
need,10
discovered,10
with,10
begged,10
want,9
managed,9
dressed,9
the,9
uttered,9
cares,9
nodded,9
received,9
led,9
come,9
seized,9
crossed,9
married,9
care,9
supposed,9
faltered,9
awoke,9
closed,8
pretended,8
preferred,8
addressed,8
gets,8
pointed,8
isnt,8
determined,8
reproached,8
suddenly,8
dropped,8
finished,8
compared,8
greeted,8
swam,8
herself,8
sits,8
tells,8
dreaded,7
allowed,7
struggled,7
dried,7
handed,7
promised,7
appeared,7
to,7
proceeded,7
worked,7
drank,7
quickly,7
considered,7
forgot,7
woke,7
very,7
despised,7
clenched,7
scarcely,7
reached,7
buried,7
learned,7
groaned,7
suffered,6
clasped,6
arranged,6
washed,6
merely,6
adored,6
cut,6
certainly,6
suggested,6
admired,6
believed,6
cast,6
expressed,6
explained,6
arrived,6
laid,6
played,6
reflected,6
rang,6
been,6
think,6
ever,6
shrieked,6
bowed,6
draws,6
offered,6
feels,6
wears,6
suspected,5
going,5
pictured,5
like,5
changed,5
settled,5
just,5
continued,5
fled,5
look,5
regarded,5
shouldnt,5
wishes,5
cannot,5
appealed,5
complained,5
upbraided,5
slept,5
assumed,5
ad,5
surrendered,5
danced,5
it,5
neither,5
pushed,5
yielded,5
lit,5
enjoyed,5
simply,5
thanked,5
lives,5
fetched,5
longed,5
imagined,5
nestled,5
beat,5
means,5
pursed,5
loathed,5
decided,5
exulted,5
shrank,5
positively,5
recovered,5
also,5
i,5
in,5
seems,5
stares,5
flings,5
smiles,5
visited,4
finds,4
deserved,4
released,4
picked,4
prepared,4
now,4
ventured,4
stroked,4
of,4
likes,4
detested,4
shouted,4
nor,4
accused,4
shut,4
rolled,4
gained,4
shot,4
clung,4
flattered,4
chattered,4
worshipped,4
shivered,4
counted,4
dreamt,4
alone,4
shall,4
take,4
sees,4
wrung,4
kicked,4
breathed,4
flashed,4
recognized,4
braced,4
trembled,4
tripped,4
walks,4
brushed,4
rushed,4
nearly,4
lost,4
mean,4
gathered,4
accompanied,4
observed,4
owed,4
love,4
opens,4
have,4
sinks,4
stops,4
speaks,4
holds,4
begins,4
runs,4
invited,3
invented,3
attempted,3
concealed,3
wonderful,3
avoided,3
proved,3
chooses,3
wiped,3
ceased,3
lies,3
pretty,3
approached,3
seldom,3
generally,3
hurried,3
volunteered,3
proposed,3
dazzled,3
treasured,3
resumed,3
chid,3
introduced,3
expect,3
belongs,3
unlocked,3
disliked,3
snatched,3
bustled,3
stooped,3
vanished,3
im,3
tossed,3
mrs,3
joined,3
abandoned,3
well,3
fired,3
immediately,3
that,3
regretted,3
smothered,3
intended,3
gazed,3
motioned,3
concluded,3
covered,3
hastened,3
writes,3
faced,3
stayed,3
agreed,3
guessed,3
consented,3
bathed,3
rested,3
emptied,3
roused,3
suffers,3
collected,3
bitterly,3
waved,3
marvelled,3
completely,3
regained,3
helped,3
dragged,3
done,3
contemplated,3
perceived,3
deserves,3
divined,3
lean,3
rather,3
even,3
experienced,3
mikes,3
earns,3
hit,3
restrained,3
confessed,3
barely,3
marry,3
abhorred,3
get,3
preserved,3
travelled,3
undressed,3
knocked,3
starts,3
wandered,3
he,3
tottered,3
lowered,3
performed,3
attacked,3
exacted,3
falls,3
noted,3
learnt,3
tightened,3
basil,3
know,3
enters,3
protested,3
wailed,3
soon,3
ended,3
shakes,3
tears,3
turns,3
beats,3
combined,2
employed,2
bound,2
make,2
sends,2
reads,2
cries,2
possesses,2
pursued,2
landed,2
then,2
coughed,2
wish,2
spends,2
stays,2
resented,2
slightly,2
stifled,2
praised,2
hung,2
cry,2
besought,2
killed,2
filled,2
hurt,2
frowned,2
caused,2
laughing,2
described,2
threatened,2
amused,2
flared,2
displayed,2
argued,2
quite,2
bored,2
drawled,2
succeeded,2
mentioned,2
served,2
punished,2
first,2
slapped,2
required,2
slackened,2
attracted,2
measured,2
attended,2
swung,2
puzzled,2
clutched,2
slid,2
lingered,2
wrapped,2
dreamed,2
dismissed,2
happened,2
discerned,2
chaffed,2
shared,2
lied,2
rocked,2
vaguely,2
questioned,2
dress,2
swayed,2
rated,2
referred,2
disclosed,2
taught,2
paints,2
smokes,2
quoted,2
once,2
patted,2
dies,2
staggered,2
hates,2
pretends,2
her,2
ruled,2
all,2
dived,2
gradually,2
disappeared,2
persuaded,2
behaved,2
surveyed,2
stirred,2
knelt,2
but,2
excited,2
owes,2
acted,2
lead,2
presently,2
touched,2
die,2
panted,2
stuck,2
retired,2
stoutly,2
mouthed,2
possibly,2
repented,2
catches,2
dares,2
spat,2
gits,2
flourished,2
refrained,2
evidently,2
habitually,2
secretly,2
unfolded,2
believes,2
blurted,2
hopes,2
embraced,2
foresaw,2
treats,2
for,2
solemnly,2
yearned,2
blamed,2
obtained,2
suspects,2
comforted,2
at,2
awaited,2
occupied,2
tell,2
fingered,2
compromised,2
calls,2
extracted,2
scrutinised,2
actually,2
prayed,2
exaggerated,2
rejoiced,2
resembled,2
sailed,2
quailed,2
fixed,2
delighted,2
wasted,2
exhibited,2
possessed,2
by,2
blew,2
created,2
folded,2
see,2
rebelled,2
smoothed,2
implored,2
accept,2
defended,2
crushed,2
telegraphed,2
examined,2
already,2
tormented,2
despises,2
d,2
sacrificed,2
kisses,2
watches,2
if,2
sold,2
stands,2
satin,2
one,2
able,2
wired,2
mourned,2
hesitates,2
drinks,2
vowed,2
congratulated,2
nursed,2
hits,2
smack,2
sneered,2
asks,2
hands,2
presses,2
plays,2
harry,2
raises,2
lifts,2
stretches,2
tries,2
dyes,2
lady,2
doing,2
rings,2
entertained,1
support,1
attached,1
hungered,1
inflicted,1
needs,1
seem,1
given,1
dead,1
conscious,1
resents,1
seeks,1
strove,1
forged,1
ploughed,1
letdown,1
devised,1
cooked,1
cooks,1
thrust,1
stored,1
feeling,1
ordered,1
tucked,1
rattled,1
wash,1
pinned,1
hinted,1
suppressed,1
distinctly,1
surprised,1
eighteen,1
hook,1
enthusiastically,1
indicated,1
detests,1
untied,1
leered,1
you,1
fearing,1
surmised,1
immersed,1
outlined,1
conferred,1
applauded,1
scented,1
excused,1
pained,1
smoked,1
pitied,1
restored,1
probably,1
preceded,1
jumped,1
narrated,1
cuddled,1
flirts,1
offer,1
prevented,1
intimated,1
curled,1
bombarded,1
answers,1
enormous,1
straightened,1
waits,1
spread,1
overtook,1
minded,1
bothered,1
crawled,1
devoured,1
brooded,1
sidled,1
steadied,1
taunts,1
deftly,1
tid,1
pounced,1
dabbed,1
jerked,1
exposed,1
interviewed,1
instinctively,1
tinkled,1
poked,1
nagged,1
appreciated,1
encountered,1
aimed,1
more,1
warned,1
kitty,1
chanced,1
chuckled,1
on,1
teased,1
bewildered,1
due,1
welcomed,1
dug,1
though,1
pure,1
go,1
fondled,1
sewed,1
devoted,1
saying,1
succ,1
follows,1
vomited,1
mostly,1
frightened,1
aroused,1
gravely,1
faintly,1
shifted,1
glowed,1
sipped,1
urged,1
insists,1
shan,1
smile,1
suits,1
boasted,1
bathes,1
clambered,1
entirely,1
bolted,1
entreated,1
owned,1
tidied,1
beckoned,1
neatly,1
bargained,1
flouted,1
promises,1
unwilling,1
cowered,1
repents,1
misunderstood,1
places,1
slopped,1
papered,1
belonged,1
clapped,1
supports,1
poor,1
heralded,1
joked,1
hankered,1
consulted,1
missed,1
mounted,1
handled,1
affected,1
busied,1
conscience,1
responded,1
imperatively,1
next,1
deceived,1
desires,1
asserted,1
flirted,1
capped,1
interested,1
effaced,1
reported,1
winced,1
ascribed,1
fainted,1
arched,1
waltzed,1
glided,1
whirled,1
tumbled,1
dodged,1
dashed,1
earned,1
thankfully,1
slammed,1
thumped,1
munched,1
fumbled,1
scampered,1
objected,1
cocked,1
scrambled,1
quickened,1
grumbled,1
marched,1
snorted,1
bit,1
ceasing,1
rubbed,1
twisted,1
sulks,1
rounds,1
boozes,1
escaped,1
tikes,1
messed,1
stand,1
plaintively,1
yelled,1
brandished,1
refilled,1
apologized,1
licked,1
crumbled,1
inhaled,1
overflowed,1
silenced,1
boldly,1
existed,1
derived,1
respected,1
ardently,1
showered,1
strongly,1
hurriedly,1
successively,1
tremble,1
fail,1
stay,1
dwelt,1
lavished,1
modestly,1
leave,1
help,1
wavered,1
indeed,1
getting,1
wakes,1
crept,1
omitted,1
pleased,1
informed,1
gulped,1
consoled,1
sang,1
wove,1
calmly,1
anticipated,1
blessed,1
this,1
imposed,1
utterly,1
summed,1
upon,1
believe,1
prided,1
pecked,1
elicited,1
gloried,1
attempt,1
prefers,1
regret,1
expose,1
prove,1
show,1
again,1
dozed,1
meditated,1
demanding,1
conquered,1
forsook,1
pines,1
bertha,1
destroyed,1
built,1
deserted,1
gathers,1
poisoned,1
sallied,1
scattered,1
matteo,1
disengaged,1
complimented,1
demanded,1
bulged,1
hurled,1
claudia,1
expecting,1
consumed,1
wills,1
appears,1
figures,1
rocks,1
averted,1
repelled,1
threaded,1
usually,1
cultivated,1
practised,1
didi,1
fed,1
my,1
invariably,1
thoroughly,1
struck,1
fond,1
flushing,1
mated,1
ive,1
realizes,1
prophesied,1
strange,1
what,1
keeps,1
pegs,1
enclosed,1
much,1
carefully,1
scrutinized,1
linger,1
dwell,1
abused,1
leads,1
ave,1
somewhat,1
inquired,1
dealt,1
pencilled,1
trained,1
leavened,1
conducted,1
bought,1
replaced,1
ransacked,1
taunted,1
imputed,1
pondered,1
reviewed,1
departed,1
points,1
resolved,1
betrayed,1
allow,1
exerted,1
goats,1
directed,1
spend,1
essayed,1
calms,1
coloured,1
relished,1
without,1
begs,1
heeded,1
emphasized,1
awfully,1
moralized,1
playing,1
coming,1
maddens,1
recovers,1
raising,1
nods,1
adorable,1
throws,1
sitting,1
lets,1
hunts,1
vise,1
works,1
reminds,1
sometimes,1
abuses,1
dresses,1
teaches,1
trains,1
visits,1
worships,1
how,1
vastly,1
snubbed,1
yearns,1
yes,1
thank,1
cleared,1
angrily,1
ask,1
forestalled,1
ignored,1
suffer,1
excites,1
disapproved,1
trusted,1
expired,1
fought,1
cherished,1
reduced,1
live,1
leaves,1
apologised,1
inveighed,1
intrusted,1
succumbed,1
doubted,1
included,1
advanced,1
wonder,1
deeply,1
influenced,1
deigned,1
resisted,1
constantly,1
curtsied,1
rests,1
mixed,1
piled,1
stationed,1
crackled,1
reappeared,1
understand,1
scrubbed,1
relinquished,1
relieved,1
carelessly,1
loosened,1
sickened,1
dwells,1
wanders,1
repays,1
showers,1
putting,1
assured,1
hissed,1
compressed,1
dipped,1
dictated,1
commanded,1
exchanged,1
hazarded,1
loving,1
remembering,1
here,1
enlarged,1
tread,1
carol,1
loathes,1
gains,1
misjudged,1
regrets,1
pleaded,1
either,1
cordially,1
fully,1
where,1
today,1
bear,1
remonstrated,1
inherited,1
frequently,1
indulged,1
humorously,1
seen,1
discreetly,1
finally,1
whimsically,1
rightly,1
pointedly,1
contemptuously,1
mimicked,1
control,1
stormed,1
its,1
insults,1
stalked,1
accomplished,1
staked,1
permitted,1
stole,1
hunted,1
gently,1
unconsciously,1
swept,1
jeered,1
strained,1
slowly,1
laboriously,1
wisely,1
confined,1
confided,1
breached,1
alluded,1
acknowledged,1
harbored,1
being,1
smilingly,1
trod,1
both,1
checked,1
hired,1
brings,1
purposely,1
prized,1
suggests,1
chaffs,1
saved,1
clenches,1
p,1
withdraws,1
blames,1
fair,1
anne,1
bends,1
